Boundary,ElementType,ParentPairs,Elements
4,303,5-30,2004
5,303,5-30,3460
6,303,5-30,4232
7,303,5-30,4236
11,303,7-30,2006
12,303,7-30,3450
13,303,7-30,4232
14,303,7-30,4236
18,303,1-30,4134
19,303,1-30,1500
20,303,1-30,10120
21,303,1-30,10120
25,303,3-30,4124
26,303,3-30,1508
27,303,3-30,10120
28,303,3-30,10120
32,303,20-30,7986
33,303,20-30,11616
34,303,20-30,4708
35,303,20-30,4708
36,303,30-exterior,5654
37,303,30-exterior,4019
38,303,30-exterior,4019
39,202,5-exterior,103
40,202,5-exterior,8
41,202,5-exterior,103
42,202,5-exterior,181
43,202,5-exterior,8
44,202,5-exterior,181
45,202,7-exterior,103
46,202,7-exterior,8
47,202,7-exterior,103
48,202,7-exterior,181
49,202,7-exterior,8
50,202,7-exterior,181
51,202,1-exterior,200
52,202,1-exterior,9
53,202,1-exterior,200
54,202,1-exterior,178
55,202,1-exterior,4
56,202,1-exterior,178
57,202,3-exterior,200
58,202,3-exterior,9
59,202,3-exterior,200
60,202,3-exterior,178
61,202,3-exterior,4
62,202,3-exterior,178
63,202,20-exterior,146
64,202,20-exterior,24
65,202,20-exterior,146
66,202,20-exterior,214
67,202,20-exterior,24
68,202,20-exterior,214
69,202,30-exterior,105
70,202,30-exterior,17
71,202,30-exterior,105
72,101,5-exterior,1
73,101,5-exterior,1
74,101,5-exterior,1
75,101,5-exterior,1
76,101,7-exterior,1
77,101,7-exterior,1
78,101,7-exterior,1
79,101,7-exterior,1
80,101,1-exterior,1
81,101,1-exterior,1
82,101,1-exterior,1
83,101,1-exterior,1
84,101,3-exterior,1
85,101,3-exterior,1
86,101,3-exterior,1
87,101,3-exterior,1
88,101,20-exterior,1
89,101,20-exterior,1
90,101,20-exterior,1
91,101,20-exterior,1
92,101,30-exterior,1
93,101,30-exterior,1
