Boundary,ElementType,ParentPairs,Elements
4,303,5-30,540
5,303,5-30,942
6,303,5-30,1093
7,303,5-30,1093
11,303,7-30,534
12,303,7-30,934
13,303,7-30,1093
14,303,7-30,1093
18,303,1-30,1044
19,303,1-30,702
20,303,1-30,3290
21,303,1-30,3290
25,303,3-30,1048
26,303,3-30,714
27,303,3-30,3290
28,303,3-30,3290
32,303,20-30,3036
33,303,20-30,4364
34,303,20-30,1784
35,303,20-30,1784
36,303,30-exterior,2945
37,303,30-exterior,957
38,303,30-exterior,2558
39,202,5-exterior,52
40,202,5-exterior,4
41,202,5-exterior,52
42,202,5-exterior,91
43,202,5-exterior,4
44,202,5-exterior,91
45,202,7-exterior,52
46,202,7-exterior,4
47,202,7-exterior,52
48,202,7-exterior,91
49,202,7-exterior,4
50,202,7-exterior,91
51,202,1-exterior,100
52,202,1-exterior,5
53,202,1-exterior,100
54,202,1-exterior,114
55,202,1-exterior,3
56,202,1-exterior,114
57,202,3-exterior,100
58,202,3-exterior,5
59,202,3-exterior,100
60,202,3-exterior,114
61,202,3-exterior,3
62,202,3-exterior,114
63,202,20-exterior,89
64,202,20-exterior,15
65,202,20-exterior,89
66,202,20-exterior,131
67,202,20-exterior,15
68,202,20-exterior,131
69,202,30-exterior,71
70,202,30-exterior,13
71,202,30-exterior,80
72,101,5-exterior,1
73,101,5-exterior,1
74,101,5-exterior,1
75,101,5-exterior,1
76,101,7-exterior,1
77,101,7-exterior,1
78,101,7-exterior,1
79,101,7-exterior,1
80,101,1-exterior,1
81,101,1-exterior,1
82,101,1-exterior,1
83,101,1-exterior,1
84,101,3-exterior,1
85,101,3-exterior,1
86,101,3-exterior,1
87,101,3-exterior,1
88,101,20-exterior,1
89,101,20-exterior,1
90,101,20-exterior,1
91,101,20-exterior,1
92,101,30-exterior,1
93,101,30-exterior,1
