Boundary,ElementType,ParentPairs,Elements
4,303,5-30,3958
5,303,5-30,7160
6,303,5-30,8529
7,303,5-30,8529
11,303,7-30,3906
12,303,7-30,7152
13,303,7-30,8529
14,303,7-30,8529
18,303,1-30,8154
19,303,1-30,2548
20,303,1-30,17780
21,303,1-30,17780
25,303,3-30,8196
26,303,3-30,2542
27,303,3-30,17780
28,303,3-30,17780
32,303,20-30,14858
33,303,20-30,21818
34,303,20-30,8766
35,303,20-30,8770
36,303,30-exterior,8986
37,303,30-exterior,6987
38,303,30-exterior,6987
39,202,5-exterior,146
40,202,5-exterior,12
41,202,5-exterior,146
42,202,5-exterior,259
43,202,5-exterior,12
44,202,5-exterior,259
45,202,7-exterior,146
46,202,7-exterior,12
47,202,7-exterior,146
48,202,7-exterior,259
49,202,7-exterior,12
50,202,7-exterior,259
51,202,1-exterior,285
52,202,1-exterior,13
53,202,1-exterior,285
54,202,1-exterior,213
55,202,1-exterior,5
56,202,1-exterior,213
57,202,3-exterior,285
58,202,3-exterior,13
59,202,3-exterior,285
60,202,3-exterior,213
61,202,3-exterior,5
62,202,3-exterior,213
63,202,20-exterior,200
64,202,20-exterior,32
65,202,20-exterior,200
66,202,20-exterior,294
67,202,20-exterior,32
68,202,20-exterior,294
69,202,30-exterior,129
70,202,30-exterior,20
71,202,30-exterior,129
72,101,5-exterior,1
73,101,5-exterior,1
74,101,5-exterior,1
75,101,5-exterior,1
76,101,7-exterior,1
77,101,7-exterior,1
78,101,7-exterior,1
79,101,7-exterior,1
80,101,1-exterior,1
81,101,1-exterior,1
82,101,1-exterior,1
83,101,1-exterior,1
84,101,3-exterior,1
85,101,3-exterior,1
86,101,3-exterior,1
87,101,3-exterior,1
88,101,20-exterior,1
89,101,20-exterior,1
90,101,20-exterior,1
91,101,20-exterior,1
92,101,30-exterior,1
93,101,30-exterior,1
