Boundary,ElementType,ParentPairs,Elements
1,303,5-30,3196
2,303,5-30,2569
3,303,5-30,2569
4,303,7-30,3132
5,303,7-30,2569
6,303,7-30,2569
10,303,1-30,1276
11,303,1-30,2540
12,303,1-30,6394
13,303,1-30,6394
17,303,3-30,1276
18,303,3-30,2548
19,303,3-30,6394
20,303,3-30,6394
24,303,20-30,14864
25,303,20-30,21816
26,303,20-30,8766
27,303,20-30,8770
28,303,30-exterior,9140
29,303,30-exterior,6987
30,303,30-exterior,6987
31,202,5-exterior,117
32,202,5-exterior,12
33,202,5-exterior,117
34,202,7-exterior,117
35,202,7-exterior,12
36,202,7-exterior,117
37,202,1-exterior,107
38,202,1-exterior,5
39,202,1-exterior,107
40,202,1-exterior,213
41,202,1-exterior,5
42,202,1-exterior,213
43,202,3-exterior,107
44,202,3-exterior,5
45,202,3-exterior,107
46,202,3-exterior,213
47,202,3-exterior,5
48,202,3-exterior,213
49,202,20-exterior,200
50,202,20-exterior,32
51,202,20-exterior,200
52,202,20-exterior,294
53,202,20-exterior,32
54,202,20-exterior,294
55,202,30-exterior,129
56,202,30-exterior,20
57,202,30-exterior,129
58,101,5-exterior,1
59,101,5-exterior,1
60,101,7-exterior,1
61,101,7-exterior,1
62,101,1-exterior,1
63,101,1-exterior,1
64,101,1-exterior,1
65,101,1-exterior,1
66,101,3-exterior,1
67,101,3-exterior,1
68,101,3-exterior,1
69,101,3-exterior,1
70,101,20-exterior,1
71,101,20-exterior,1
72,101,20-exterior,1
73,101,20-exterior,1
74,101,30-exterior,1
75,101,30-exterior,1
